trip_id,arrival_time,departure_time,stop_id,stop_sequence
TRIP_R_01_DIR0_0500,05:00:00,05:00:00,ST_1001629,1
TRIP_R_01_DIR0_0500,05:02:00,05:02:00,ST_1001277,2
TRIP_R_01_DIR0_0500,05:04:00,05:04:00,ST_1002686,3
TRIP_R_01_DIR0_0500,05:06:00,05:06:00,ST_1002792,4
TRIP_R_01_DIR0_0500,05:08:00,05:08:00,ST_1002685,5
TRIP_R_01_DIR0_0500,05:10:00,05:10:00,ST_100412,6
TRIP_R_01_DIR0_0500,05:12:00,05:12:00,ST_1001324,7
TRIP_R_01_DIR0_0500,05:14:00,05:14:00,ST_1001325,8
TRIP_R_01_DIR0_0500,05:16:00,05:16:00,ST_100180,9
TRIP_R_01_DIR0_0500,05:18:00,05:18:00,ST_1001296,10
TRIP_R_01_DIR0_0500,05:20:00,05:20:00,ST_100124,11
TRIP_R_01_DIR0_0500,05:22:00,05:22:00,ST_1001246,12
TRIP_R_01_DIR0_0500,05:24:00,05:24:00,ST_1001247,13
TRIP_R_01_DIR0_0500,05:26:00,05:26:00,ST_1001248,14
TRIP_R_01_DIR0_0500,05:28:00,05:28:00,ST_100788,15
TRIP_R_01_DIR0_0500,05:30:00,05:30:00,ST_1001166,16
TRIP_R_01_DIR0_0500,05:32:00,05:32:00,ST_1001167,17
TRIP_R_01_DIR0_0500,05:34:00,05:34:00,ST_1001431,18
TRIP_R_01_DIR0_0500,05:36:00,05:36:00,ST_100802,19
TRIP_R_01_DIR0_0500,05:38:00,05:38:00,ST_100803,20
TRIP_R_01_DIR0_0500,05:40:00,05:40:00,ST_100804,21
TRIP_R_01_DIR0_0500,05:42:00,05:42:00,ST_100805,22
TRIP_R_01_DIR0_0500,05:44:00,05:44:00,ST_100806,23
TRIP_R_01_DIR0_0500,05:46:00,05:46:00,ST_1001298,24
TRIP_R_01_DIR0_0500,05:48:00,05:48:00,ST_1001299,25
TRIP_R_01_DIR0_0500,05:50:00,05:50:00,ST_1001300,26
TRIP_R_01_DIR0_0500,05:52:00,05:52:00,ST_1001301,27
TRIP_R_01_DIR0_0500,05:54:00,05:54:00,ST_1001432,28
TRIP_R_01_DIR0_0500,05:56:00,05:56:00,ST_1001430,29
TRIP_R_01_DIR0_0500,05:58:00,05:58:00,ST_100923,30
TRIP_R_01_DIR0_0500,06:00:00,06:00:00,ST_100924,31
TRIP_R_01_DIR0_0500,06:02:00,06:02:00,ST_100925,32
TRIP_R_01_DIR0_0500,06:04:00,06:04:00,ST_1001980,33
TRIP_R_01_DIR0_0500,06:06:00,06:06:00,ST_100926,34
TRIP_R_01_DIR0_0500,06:08:00,06:08:00,ST_100927,35
TRIP_R_01_DIR0_0500,06:10:00,06:10:00,ST_1001138,36
TRIP_R_01_DIR0_0500,06:12:00,06:12:00,ST_1001699,37
TRIP_R_01_DIR0_0510,05:10:00,05:10:00,ST_1001629,1
TRIP_R_01_DIR0_0510,05:12:00,05:12:00,ST_1001277,2
TRIP_R_01_DIR0_0510,05:14:00,05:14:00,ST_1002686,3
TRIP_R_01_DIR0_0510,05:16:00,05:16:00,ST_1002792,4
TRIP_R_01_DIR0_0510,05:18:00,05:18:00,ST_1002685,5
TRIP_R_01_DIR0_0510,05:20:00,05:20:00,ST_100412,6
TRIP_R_01_DIR0_0510,05:22:00,05:22:00,ST_1001324,7
TRIP_R_01_DIR0_0510,05:24:00,05:24:00,ST_1001325,8
TRIP_R_01_DIR0_0510,05:26:00,05:26:00,ST_100180,9
TRIP_R_01_DIR0_0510,05:28:00,05:28:00,ST_1001296,10
TRIP_R_01_DIR0_0510,05:30:00,05:30:00,ST_100124,11
TRIP_R_01_DIR0_0510,05:32:00,05:32:00,ST_1001246,12
TRIP_R_01_DIR0_0510,05:34:00,05:34:00,ST_1001247,13
TRIP_R_01_DIR0_0510,05:36:00,05:36:00,ST_1001248,14
TRIP_R_01_DIR0_0510,05:38:00,05:38:00,ST_100788,15
TRIP_R_01_DIR0_0510,05:40:00,05:40:00,ST_1001166,16
TRIP_R_01_DIR0_0510,05:42:00,05:42:00,ST_1001167,17
TRIP_R_01_DIR0_0510,05:44:00,05:44:00,ST_1001431,18
TRIP_R_01_DIR0_0510,05:46:00,05:46:00,ST_100802,19
TRIP_R_01_DIR0_0510,05:48:00,05:48:00,ST_100803,20
TRIP_R_01_DIR0_0510,05:50:00,05:50:00,ST_100804,21
TRIP_R_01_DIR0_0510,05:52:00,05:52:00,ST_100805,22
TRIP_R_01_DIR0_0510,05:54:00,05:54:00,ST_100806,23
TRIP_R_01_DIR0_0510,05:56:00,05:56:00,ST_1001298,24
TRIP_R_01_DIR0_0510,05:58:00,05:58:00,ST_1001299,25
TRIP_R_01_DIR0_0510,06:00:00,06:00:00,ST_1001300,26
TRIP_R_01_DIR0_0510,06:02:00,06:02:00,ST_1001301,27
TRIP_R_01_DIR0_0510,06:04:00,06:04:00,ST_1001432,28
TRIP_R_01_DIR0_0510,06:06:00,06:06:00,ST_1001430,29
TRIP_R_01_DIR0_0510,06:08:00,06:08:00,ST_100923,30
TRIP_R_01_DIR0_0510,06:10:00,06:10:00,ST_100924,31
TRIP_R_01_DIR0_0510,06:12:00,06:12:00,ST_100925,32
TRIP_R_01_DIR0_0510,06:14:00,06:14:00,ST_1001980,33
TRIP_R_01_DIR0_0510,06:16:00,06:16:00,ST_100926,34
TRIP_R_01_DIR0_0510,06:18:00,06:18:00,ST_100927,35
TRIP_R_01_DIR0_0510,06:20:00,06:20:00,ST_1001138,36
TRIP_R_01_DIR0_0510,06:22:00,06:22:00,ST_1001699,37
TRIP_R_01_DIR0_0520,05:20:00,05:20:00,ST_1001629,1
TRIP_R_01_DIR0_0520,05:22:00,05:22:00,ST_1001277,2
TRIP_R_01_DIR0_0520,05:24:00,05:24:00,ST_1002686,3
TRIP_R_01_DIR0_0520,05:26:00,05:26:00,ST_1002792,4
TRIP_R_01_DIR0_0520,05:28:00,05:28:00,ST_1002685,5
